Mark,Competitor,DOB,Nat,Venue,Date
1:43.73,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Berkeley, CA (USA)",29 Apr 2017
1:43.86,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,Nairobi (KEN),24 Jun 2017
1:43.91,Nijel AMOS,15 Mar 1994,BOT,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 Jul 2017
1:43.94,Wyclife KINYAMAL,02 Jul 1997,KEN,Rovereto (ITA),29 Aug 2017
1:43.95,Donavan BRAZIER,15 Apr 1997,USA,"Olympic Stadium, London (GBR)",09 Jul 2017
1:44.04,Kipyegon BETT,01 Feb 1998,KEN,Nairobi (KEN),24 Jun 2017
1:44.14,Donavan BRAZIER,15 Apr 1997,USA,"Sacramento, CA (USA)",25 Jun 2017
1:44.24,Nijel AMOS,15 Mar 1994,BOT,"Stade Charléty, Paris (FRA)",01 Jul 2017
1:44.28,Kipyegon BETT,01 Feb 1998,KEN,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 Jul 2017
1:44.36,Kipyegon BETT,01 Feb 1998,KEN,"Stade Charléty, Paris (FRA)",01 Jul 2017
1:44.37,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Stade Charléty, Paris (FRA)",01 Jul 2017
1:44.41,Brandon MCBRIDE,15 Jun 1994,CAN,"Stade Louis II, Monaco (MON)",21 Jul 2017
1:44.43,Asbel KIPROP,30 Jun 1989,KEN,"Olympic Stadium, London (GBR)",09 Jul 2017
1:44.44,Antoine GAKEME,24 Dec 1991,BDI,"Moratalaz, Madrid (ESP)",14 Jul 2017
1:44.49,Antoine GAKEME,24 Dec 1991,BDI,Rovereto (ITA),29 Aug 2017
1:44.50,Nijel AMOS,15 Mar 1994,BOT,"Alexander Stadium, Birmingham (GBR)",20 Aug 2017
1:44.53,Isaiah HARRIS,18 Oct 1996,USA,"Sacramento, CA (USA)",25 Jun 2017
1:44.53,Nijel AMOS,15 Mar 1994,BOT,"Boudewijnstadion, Bruxelles (BEL)",01 Sep 2017
1:44.54,Antoine GAKEME,24 Dec 1991,BDI,"Stade Louis II, Monaco (MON)",21 Jul 2017
1:44.61,Michael SARUNI,18 Jun 1995,KEN,Nairobi (KEN),24 Jun 2017
1:44.62,Donavan BRAZIER,15 Apr 1997,USA,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 Jul 2017
1:44.62,Amel TUKA,09 Jan 1991,BIH,Rovereto (ITA),29 Aug 2017
1:44.63,Donavan BRAZIER,15 Apr 1997,USA,"Tempe, AZ (USA)",08 Apr 2017
1:44.63,Drew WINDLE,22 Jul 1992,USA,"New York, NY (USA)",06 Jul 2017
1:44.66,Erik SOWINSKI,21 Dec 1989,USA,"New York, NY (USA)",06 Jul 2017
1:44.67,Pierre-Ambroise BOSSE,11 May 1992,FRA,"Olympic Stadium, London (GBR)",08 Aug 2017
1:44.70,Kipyegon BETT,01 Feb 1998,KEN,"Shanghai Stadium, Shanghai (CHN)",13 May 2017
1:44.72,Pierre-Ambroise BOSSE,11 May 1992,FRA,"Stade Louis II, Monaco (MON)",21 Jul 2017
1:44.72,Drew WINDLE,22 Jul 1992,USA,"Stade Louis II, Monaco (MON)",21 Jul 2017
1:44.77,Edward Kibet KEMBOI,09 Dec 1993,KEN,"New York, NY (USA)",06 Jul 2017
1:44.77,Marcin LEWANDOWSKI,13 Jun 1987,POL,"Boudewijnstadion, Bruxelles (BEL)",01 Sep 2017
1:44.80,Alex AMANKWA,02 Mar 1992,GHA,"Marietta, GA (USA)",19 May 2017
1:44.81,Thiago ANDRÉ,04 Aug 1995,BRA,Sao Bernardo do Campo (BRA),11 Jun 2017
1:44.82,Erik SOWINSKI,21 Dec 1989,USA,"Olympic Stadium, London (GBR)",09 Jul 2017
1:44.84,Adam KSZCZOT,02 Sep 1989,POL,"Boudewijnstadion, Bruxelles (BEL)",01 Sep 2017
1:44.86,Willy Kiplimo TARBEI,30 May 1998,KEN,Kingston (JAM),10 Jun 2017
1:44.86,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,Nairobi (KEN),24 Jun 2017
1:44.90,Davis CHERUIYOT,,KEN,Nairobi (KEN),16 May 2017
1:44.90,David RUDISHA,17 Dec 1988,KEN,Kingston (JAM),10 Jun 2017
1:44.90,David RUDISHA,17 Dec 1988,KEN,"Bregyó Athletic Center, Székesfehérvár (HUN)",04 Jul 2017
1:44.92,Hamada MOHAMED,22 Oct 1992,EGY,"Moratalaz, Madrid (ESP)",14 Jul 2017
1:44.94,Amel TUKA,09 Jan 1991,BIH,"Stade Louis II, Monaco (MON)",21 Jul 2017
1:44.95,Drew WINDLE,22 Jul 1992,USA,"Sacramento, CA (USA)",25 Jun 2017
1:44.95,Adam KSZCZOT,02 Sep 1989,POL,"Olympic Stadium, London (GBR)",08 Aug 2017
1:44.98,Andrés ARROYO,07 Jun 1995,PUR,"New York, NY (USA)",06 Jul 2017
1:44.99,Thijmen KUPERS,04 Oct 1991,NED,"FBK Stadium, Hengelo (NED)",11 Jun 2017
1:44.99,Elliot GILES,26 May 1994,GBR,"Olympic Stadium, London (GBR)",09 Jul 2017
1:45.00,Peter Langat KIPLANGAT,06 Sep 1993,KEN,Nairobi (KEN),10 Jun 2017
1:45.01,Ayanleh SOULEIMAN,03 Dec 1992,DJI,Barcelona (ESP),29 Jun 2017
1:45.01,Erik SOWINSKI,21 Dec 1989,USA,"Moratalaz, Madrid (ESP)",14 Jul 2017
1:45.01,Brandon MCBRIDE,15 Jun 1994,CAN,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 Jul 2017
1:45.02,Drew WINDLE,22 Jul 1992,USA,"Marietta, GA (USA)",19 May 2017
1:45.02,Thijmen KUPERS,04 Oct 1991,NED,"Olympiastadion, Stockholm (SWE)",18 Jun 2017
1:45.02,Kevin LÓPEZ,12 Jun 1990,ESP,Barcelona (ESP),29 Jun 2017
1:45.02,Kipyegon BETT,01 Feb 1998,KEN,"Olympic Stadium, London (GBR)",06 Aug 2017
1:45.03,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Eugene, OR (USA)",09 Jun 2017
1:45.04,Jesse GARN,04 Jun 1993,USA,"New York, NY (USA)",06 Jul 2017
1:45.04,Willy Kiplimo TARBEI,30 May 1998,KEN,Karlstad (SWE),25 Jul 2017
1:45.05,Robert BIWOTT,28 Jan 1996,KEN,"Stade Charléty, Paris (FRA)",01 Jul 2017
1:45.06,Álvaro DE ARRIBA,02 Jun 1994,ESP,"Moratalaz, Madrid (ESP)",14 Jul 2017
1:45.10,Guy LEARMONTH,20 Apr 1992,GBR,Rovereto (ITA),29 Aug 2017
1:45.12,Isaiah HARRIS,18 Oct 1996,USA,"Charlottesville, VA (USA)",21 Apr 2017
1:45.12,Erik SOWINSKI,21 Dec 1989,USA,"Stade Louis II, Monaco (MON)",21 Jul 2017
1:45.13,Andreas KRAMER,13 Apr 1997,SWE,Karlstad (SWE),25 Jul 2017
1:45.15,Robert BIWOTT,28 Jan 1996,KEN,"Shanghai Stadium, Shanghai (CHN)",13 May 2017
1:45.15,Antoine GAKEME,24 Dec 1991,BDI,Huelva (ESP),14 Jun 2017
1:45.15,Job KINYOR,08 May 1990,KEN,"Moratalaz, Madrid (ESP)",14 Jul 2017
1:45.17,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Shanghai Stadium, Shanghai (CHN)",13 May 2017
1:45.17,Daniel ANDÚJAR,14 May 1994,ESP,"Moratalaz, Madrid (ESP)",14 Jul 2017
1:45.17,Job KINYOR,08 May 1990,KEN,Bellinzona (SUI),18 Jul 2017
1:45.21,Bernard KIPYEGON,19 Dec 1990,KEN,Nairobi (KEN),24 Jun 2017
1:45.21,Peter BOL,22 Feb 1994,AUS,Mannheim (GER),01 Jul 2017
1:45.21,Adam KSZCZOT,02 Sep 1989,POL,"Olympic Stadium, London (GBR)",09 Jul 2017
1:45.21,Kipyegon BETT,01 Feb 1998,KEN,"Olympic Stadium, London (GBR)",08 Aug 2017
1:45.21,Kipyegon BETT,01 Feb 1998,KEN,"Boudewijnstadion, Bruxelles (BEL)",01 Sep 2017
1:45.22,Marc REUTHER,23 Jun 1996,GER,Pfungstadt (GER),05 Jul 2017
1:45.23,Erik SOWINSKI,21 Dec 1989,USA,"Marietta, GA (USA)",19 May 2017
1:45.23,Brandon MCBRIDE,15 Jun 1994,CAN,Ottawa (CAN),08 Jul 2017
1:45.25,Kyle LANGFORD,02 Feb 1996,GBR,"Olympic Stadium, London (GBR)",08 Aug 2017
1:45.25,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Boudewijnstadion, Bruxelles (BEL)",01 Sep 2017
1:45.26,Hamada MOHAMED,22 Oct 1992,EGY,Barcelona (ESP),29 Jun 2017
1:45.26,Job KINYOR,08 May 1990,KEN,"Bregyó Athletic Center, Székesfehérvár (HUN)",04 Jul 2017
1:45.26,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 Jul 2017
1:45.27,Erik SOWINSKI,21 Dec 1989,USA,Kingston (JAM),10 Jun 2017
1:45.28,Saúl ORDÓÑEZ,10 Apr 1994,ESP,Pamplona (ESP),27 Jul 2017
1:45.28,Adam KSZCZOT,02 Sep 1989,POL,"Alexander Stadium, Birmingham (GBR)",20 Aug 2017
1:45.29,Willy Kiplimo TARBEI,30 May 1998,KEN,Heusden-Zolder (BEL),22 Jul 2017
1:45.33,Marcin LEWANDOWSKI,13 Jun 1987,POL,"Alexander Stadium, Birmingham (GBR)",20 Aug 2017
1:45.34,Willy Kiplimo TARBEI,30 May 1998,KEN,Oordegem (BEL),27 May 2017
1:45.34,Job KINYOR,08 May 1990,KEN,Andújar (ESP),02 Jun 2017
1:45.34,Amel TUKA,09 Jan 1991,BIH,Velenje (SLO),20 Jun 2017
1:45.36,David RUDISHA,17 Dec 1988,KEN,"Shanghai Stadium, Shanghai (CHN)",13 May 2017
1:45.36,Brandon MCBRIDE,15 Jun 1994,CAN,"Somerville, MA (USA)",02 Jun 2017
1:45.37,Nicholas Kiplangat KIPKOECH,22 Oct 1992,KEN,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 Jul 2017
1:45.39,Erik SOWINSKI,21 Dec 1989,USA,"Sacramento, CA (USA)",25 Jun 2017
1:45.39,Brandon MCBRIDE,15 Jun 1994,CAN,"Alexander Stadium, Birmingham (GBR)",20 Aug 2017
1:45.40,Alfred KIPKETER,28 Dec 1996,KEN,"Shanghai Stadium, Shanghai (CHN)",13 May 2017
